Regularizer	FC1	FC2	genre	variant	epoch	train_loss	train_accuracy	train_fscore	test_loss	test_accuracy	test_fscore
L2=1e-4	256	256	Animation	regularizer L2	3	1.77979911431	0.750721265189	0.116126842604	NaN	0.825874093473	NaN
L2=1e-4	256	256	Animation	regularizer L2	4	1.72094072306	0.864495113263	0.172698238718	NaN	0.841531568248	NaN
L2=1e-4	256	256	Animation	regularizer L2	5	1.58518592693	0.912843183159	0.259832293525	NaN	0.933582743901	NaN
L2=1e-4	256	256	Animation	regularizer L2	6	1.47688411896	0.924429968142	0.303370013894	NaN	0.945083367767	NaN
L2=1e-4	256	256	Animation	regularizer L2	7	1.40844732688	0.934899953511	0.338368487666	NaN	0.928363585432	NaN
L2=1e-4	256	256	Animation	regularizer L2	8	1.32407695617	0.942159144514	0.376685319528	NaN	0.929056394483	NaN
L2=1e-4	256	256	Animation	regularizer L2	9	1.26066961047	0.948627267654	0.4074754913	NaN	0.932520437423	NaN
L2=1e-4	256	256	Animation	regularizer L2	10	1.17225253941	0.953606328558	0.448689708129	NaN	0.943651563006	NaN
L2=1e-5	256	256	Animation	regularizer L2	1	1.72932714748	0.798929734666	0.153445425778	NaN	0.900235554885	NaN
L2=1e-5	256	256	Animation	regularizer L2	2	1.5747285626	0.898278268358	0.22838747021	NaN	0.927855526004	NaN
L2=1e-5	256	256	Animation	regularizer L2	3	1.52014628708	0.898045602229	0.2570441869	NaN	0.931781441712	NaN
L2=1e-5	256	256	Animation	regularizer L2	4	1.44659707607	0.92359236729	0.291364001831	NaN	0.896956260447	NaN
L2=1e-5	256	256	Animation	regularizer L2	5	1.38492220259	0.931968356771	0.321076878208	NaN	0.937462472499	NaN
L2=1e-5	256	256	Animation	regularizer L2	6	1.29824249406	0.943182875584	0.363637525761	NaN	0.91496928507	NaN
L2=1e-5	256	256	Animation	regularizer L2	7	1.28909388609	0.943136342074	0.368109573031	NaN	0.939171400719	NaN
L2=1e-5	256	256	Animation	regularizer L2	8	1.21216643405	0.949930199877	0.406989932682	NaN	0.939910396608	NaN
L2=1e-5	256	256	Animation	regularizer L2	9	1.17917472156	0.95151233094	0.424076291712	NaN	0.915985404418	NaN
L2=1e-5	256	256	Animation	regularizer L2	10	1.18419568924	0.947091670361	0.416569323643	NaN	0.939494710903	NaN
L2=1e-6	256	256	Animation	regularizer L2	1	1.68010449831	0.775570032457	0.163276919682	NaN	0.913583667778	NaN
L2=1e-6	256	256	Animation	regularizer L2	2	1.56788174706	0.879897626448	0.220251238727	NaN	0.907579326243	NaN
L2=1e-6	256	256	Animation	regularizer L2	3	1.5100449198	0.890181478787	0.249744952141	NaN	0.863424322147	NaN
L2=1e-6	256	256	Animation	regularizer L2	4	1.46623031405	0.924895299635	0.270672117149	NaN	0.851508013206	NaN
L2=1e-6	256	256	Animation	regularizer L2	5	1.41526331959	0.918939041459	0.295583181261	NaN	0.932658998926	NaN
L2=1e-6	256	256	Animation	regularizer L2	6	1.38315718701	0.922754769511	0.309159477824	NaN	0.922220682281	NaN
L2=1e-6	256	256	Animation	regularizer L2	7	1.3616133171	0.927361562686	0.324442227007	NaN	0.898711375571	NaN
L2=1e-6	256	256	Animation	regularizer L2	8	1.2990192288	0.939087947927	0.354157552923	NaN	0.932474250133	NaN
L2=1e-6	256	256	Animation	regularizer L2	9	1.28055591283	0.939274080441	0.359411447492	NaN	0.839314580806	NaN
